archaeological_layer.archstratigraphy_idarchstrat;assemblage.locality_idlocality;assemblage.name;assemblage.lithic_piece_count;locality.x;locality.y;query_age_min;query_age_max;age_comments
MSA 1;Elands Bay Cave;Elands Bay Cave Keva Archaeological Assemblage;615;18.3179639;-32.3178694;126000;191000;;
MSA 1;Elands Bay Cave;Elands Bay Cave Lara Archaeological Assemblage;274;18.3179639;-32.3178694;126000;191000;;
MSA 1;Elands Bay Cave;Elands Bay Cave Letty Archaeological Assemblage;146;18.3179639;-32.3178694;126000;191000;;
MSA;Elands Bay Cave;Elands Bay Cave Level 23B Layer DS10 Archaeological Assemblage;222;18.3179639;-32.3178694;19960;44740;;
MSA;Elands Bay Cave;Elands Bay Cave Level 23B Layer DS10 Archaeological Assemblage;222;18.3179639;-32.3178694;20180;126000;;
MSA;Elands Bay Cave;Elands Bay Cave Level 23B Layer DS11 Archaeological Assemblage;865;18.3179639;-32.3178694;20180;126000;;
MSA;Elands Bay Cave;Elands Bay Cave Level 23B Layer DS11 Archaeological Assemblage;865;18.3179639;-32.3178694;40860;44740;;
MSA 1;Elands Bay Cave;Elands Bay Cave Level 24 Layer DS12 Archaeological Assemblage;1543;18.3179639;-32.3178694;126000;191000;;
MSA 1;Elands Bay Cave;Elands Bay Cave Level 24 Layer DS12 Archaeological Assemblage;1543;18.3179639;-32.3178694;130000;191000;;
MSA 1;Elands Bay Cave;Elands Bay Cave Liam Archaeological Assemblage;354;18.3179639;-32.3178694;126000;191000;;
ELSA;Enkapune Ya Muto;Enkapune Ya Muto GG1 Layer Archaeological Assemblage;;36.15;-0.8333333;35250;71000;;
ELSA;Enkapune Ya Muto;Enkapune Ya Muto GG2 Layer Archaeological Assemblage;;36.15;-0.8333333;35250;71000;;
ELSA;Enkapune Ya Muto;Enkapune Ya Muto OL Layer Archaeological Assemblage;;36.15;-0.8333333;35250;71000;;
MSA;Enkapune Ya Muto;Enkapune Ya Muto RBL4 Layer Archaeological Assemblage;1697;36.15;-0.8333333;40700;71000;;
MSA;Equus Cave;Equus Cave Level 2B Archaeological Assemblage;122;24.629547;-27.614358;32700;103000;Despite the young date obtained on Leve 2B, Klein et al 1991 believe Level 1B, 2A and 2B to be deposited between 32000 and 103000 BP. This supposition hinges on Archaeological finds and geomorphological data;
MSA;Erb Tanks Rockshelter;Erb Tanks Rockshelter Level 14+15 Archaeological Assemblage;146;14.97;-22.42;30000;65000;age_min: arch_strat, age_max: AAR, young C14 date in Level 15 and the wide age range of AAR dates in Level 11, 14 and 16 suggest possible mixing of the deposits;
MSA;Erb Tanks Rockshelter;Erb Tanks Rockshelter Level 14+15 Archaeological Assemblage;146;14.97;-22.42;30000;130000;age_min: arch_strat, age_max: stratigraphy (age Level 16), one C14 date of 2590+/- 25, young C14 date and the wide age range of AAR dates in Level 11, 14 and 16 suggest possible mixing of the deposits;
MSA;Erb Tanks Rockshelter;Erb Tanks Rockshelter Level 16 Archaeological Assemblage;1267;14.97;-22.42;30000;130000;age_min: arch_strat, age_max: AAR, AAR dates on ostrich eggshells range between <5.000 and 130.000 BP, a relatively young C14 date in Level 15 and the wide age range of the AAR dates in Level 11, 14 and 16 suggest a possible mixing of the deposits;
MSA/LSA;Erfkroon 1;EFK-1 Layer 2 Archaeological Assemblage;;25.5943333;-28.8686944;23800;40000;stratigraphical position of the different archaeological horizons and the OSL sample unclear and somewhat confusing (Churchill et al. 2000), OSL date of sand beneath LSA surface, yet they describe anothoer LSA horizon and a MSA/LSA in situ transition, generic Layer 2 describes the MSA/LSA transitional layer and should lie beneath the (two?) LSA horizon(s), geo_max: arch_strat MSA/LSA;
Late Acheulean - Africa;Errayah;Errayah Niveau superieur Archaeological Assemblage;;0.42;36.1;200000;800000;The maximum and minimum age of the geological layer is defined based on the archaeological material found in situ within it.;
MSA;Etemba 14;Etemba 14 Layer V Archaeological Assemblage;1098;15.617;-21.45;30000;300000;;
MSA;Eyasi;Eyasi Nordostbucht Archaeological Collection;1204;35.2666667;-3.5333333;30000;300000;arch_strat: MSA;
MSA;Eyasi;Eyasi Westbucht Archaeological Collection;1597;35.2666667;-3.5333333;30000;300000;arch_strat: MSA;
MSA;Eyasi;Eyasi Westbucht Excavation II Archaeological Collection;141;35.2666667;-3.5333333;30000;300000;arch_strat: MSA;
MSA;Eyasi;Eyasi Westbucht Excavation III Archaeological Collection;183;35.2666667;-3.5333333;30000;300000;arch_strat: MSA;
MSA;Eyasi;Eyasi Westbucht Excavation IV Archaeological Collection;130;35.2666667;-3.5333333;30000;300000;arch_strat: MSA;
MSA;Eyasi;Eyasi Westbucht Excavation VI Archaeological Collection;2;35.2666667;-3.5333333;30000;300000;arch_strat: MSA;
MSA;Eyasi;Eyasi Westbucht Excavation VIa Archaeological Collection;2;35.2666667;-3.5333333;30000;300000;arch_strat: MSA;
Middle Paleolithic - Africa;Ezbet Rabab;Lithic Assemblage Gravel Layer;80;31.7666667;26.6333333;40000;200000;;
Late MSA;Fincha Habera;Fincha Habera FHL-07 Archaeological Assemblage;263;39.720068;7.014577;9680;42797;;
Late MSA;Fincha Habera;Fincha Habera FHL-08 Archaeological Assemblage;655;39.720068;7.014577;27120;42797;;
Late MSA;Fincha Habera;Fincha Habera FHL-09 Archaeological Assemblage;93;39.720068;7.014577;33370;42797;;
MSA;Florisbad;Florisbad Layer E Archaeological Assemblage;116;26.069549;-28.767855;30000;127000;;
Pre-Still Bay;Florisbad;Florisbad Layer F Archaeological Assemblage;1705;26.069549;-28.767855;115000;127000;;
Pre-Still Bay;Florisbad;Florisbad Layer H Archaeological Assemblage;55;26.069549;-28.767855;115000;178000;;
Pre-Still Bay;Florisbad;Florisbad Layer I Archaeological Assemblage;73;26.069549;-28.767855;115000;178000;;
Pre-Still Bay;Florisbad;Florisbad Layer K Archaeological Assemblage;66;26.069549;-28.767855;115000;178000;;
Pre-Still Bay;Florisbad;Florisbad Layer L Archaeological Assemblage;54;26.069549;-28.767855;115000;178000;;
Pre-Still Bay;Florisbad;Florisbad Layer M Archaeological Assemblage;120;26.069549;-28.767855;136000;178000;;
MSA;Florisbad;Florisbad Layer P1 Archaeological Assemblage;15;26.069549;-28.767855;232000;326000;;
MSA;Florisbad;Forisbad Layer O Archaeological Assemblage;22;26.069549;-28.767855;232000;326000;;
MSA;Ga-Mohana Hill North;Ga-Mohana Hill North DBSR Archaeological Assemblage;-1;23.344033;-27.383502;91500;115500;;
MSA;Gademotta Area;Gademotta Area ETH-72-5 Archaeological Assemblage;4572;38.6457806;7.94565;30000;105000;;
MSA;Gademotta Area;Gademotta Area ETH-72-6 Archaeological Assemblage;7362;38.6457806;7.94565;98800;288000;;
MSA;Gademotta Area;Gademotta Area ETH-72-7B Layer I Archaeological Assemblage;765;38.6457806;7.94565;98800;288000;;
MSA;Gademotta Area;Gademotta Area ETH-72-7B Layer II Archaeological Assemblage;1380;38.6457806;7.94565;98800;288000;;
MSA;Gademotta Area;Gademotta Area ETH-72-8B Archaeological Assemblage;9188;38.6457806;7.94565;269000;1300000;;
MSA;Gademotta Area;Gademotta Area GDM7 Archaeolgocial Assemblage;4909;38.6457806;7.94565;269000;1300000;;
MSA;Geelbek_Alice;Geelbek_Alice CAL4 MSA Collection;1;18.15312;-33.1896;107483;121787;correlates with Geelbek_Homo CAL4, n.d.;
MSA;Geelbek_Bay35;Geelbek_Bay35 CAL4 MSA Collection;9;18.15342;-33.19128;107483;121787;114635, U-Series date correlates to Geelbek_Homo CAL4;
Howiesonspoort;Geelbek_Equus;Geelbek_Equus CAL4 HP Collection;2;18.16185;-33.17812;60000;116000;111000, U-Series, HP;
MSA;Geelbek_Equus;Geelbek_Equus CAL4 MSA Collection;19;18.16185;-33.17812;60000;116000;111000, U-Series, HP;
Howiesonspoort;Geelbek_Homo;Geelbek_Homo CAL4 HP Collection;1;18.15268;-33.19078;60000;121800;114600, U-Series, MSA, HP, SB;
MSA;Geelbek_Homo;Geelbek_Homo CAL4 MSA Collection;64;18.15268;-33.19078;60000;121800;114600, U-Series, MSA, HP, SB;
Still Bay;Geelbek_Homo;Geelbek_Homo CAL4 SB Collection;1;18.15268;-33.19078;60000;121800;114600, U-Series, MSA, HP, SB;
MSA;Geelbek_Loop;Geelbek_Loop CAL4 MSA Collection;1;18.16415;-33.17863;106000;116000;correlates with Geelbek_Equus CAL4, n.d.;
Still Bay;Geelbek_Mrose;Geelbek_Mrose CAL4 SB Collection;3;18.16347;-33.1806;70000;116000;correlates with Geelbek_Equus CAL4, n.d., contains SB;
Howiesonspoort;Geelbek_Rhino;Geelbek_Rhino PFH HP Collection;2;18.15183;-33.18;39940;66000;61000 IRSL, HP finds;
MSA;Geelbek_Snoek;Geelbek_Snoek CAL4 MSA Collection;4;18.15803;-33.18033;106000;116000;correlates with Geelbek_Equus CAL4, n.d.;
Howiesonspoort;Geelbek_Stella;Geelbek_Stella CAL2 HP Collection;107;18.15622;-33.18535;60000;130000;161000 U-Series, but used HP for approx age min and early MSA for age max;
MSA;Geelbek_Stella;Geelbek_Stella CAL2 MSA Collection;33;18.15622;-33.18535;60000;130000;161000 U-Series, but used HP for approx age min and early MSA for age max;
MSA;Geelbek_Toaster;Geelbek_Toaster CAL3 MSA Collection;15;18.15378;-33.18348;122470;142798;132634, U-Series;
MSA;Gi;Gi Unit 4 Archaeological Assemblage;7537;21.008442;-19.624147;30000;300000;;
MSA;Gi;Gi Unit 5 Archaeological Assemblage;621;21.008442;-19.624147;30000;300000;;
Late MSA;Goda Buticha;Goda Buticha Lower Complex II Layers IId-IIf Archaeological Assemblage;3987;41.64;9.52;34000;46000;;
Late MSA;Goda Buticha;Goda Buticha Lower Complex II Layers IId-IIf Archaeological Assemblage;3987;41.64;9.52;42000;46000;;
Fauresmith;Gondar;Gondar Archaeological Surface Collection;96;37.660029;12.634109;300000;650000;;
MSA;Gorgora Rock Shelter;Gorgora Rock Shelter Level 10 Archaeological Assemblage;71;37.28;12.24;30000;126000;No absolute dating. Awaiting dates from archaeology;
MSA;Gorgora Rock Shelter;Gorgora Rock Shelter Level 11 Archaeological Assemblage;18;37.28;12.24;30000;126000;No absolute dating. Awaiting dates from archaeology;
MSA;Gorgora Rock Shelter;Gorgora Rock Shelter Level 12 Archaeological Assemblage;8;37.28;12.24;30000;126000;No absolute dating. Awaiting dates from archaeology;
Magosian;Gorgora Rock Shelter;Gorgora Rock Shelter Level 3 Archaeological Assemblage;212;37.28;12.24;25000;40000;No absolute dating. Awaiting dates from archaeology;
MSA;Gorgora Rock Shelter;Gorgora Rock Shelter Level 4 Archaeological Assemblage;136;37.28;12.24;30000;126000;No absolute dating. Awaiting dates from archaeology;
MSA;Gorgora Rock Shelter;Gorgora Rock Shelter Level 5 Archaeological Assemblage;201;37.28;12.24;30000;126000;No absolute dating. Awaiting dates from archaeology;
MSA;Gorgora Rock Shelter;Gorgora Rock Shelter Level 6 Archaeological Assemblage;77;37.28;12.24;30000;126000;No absolute dating. Awaiting dates from archaeology;
MSA;Gorgora Rock Shelter;Gorgora Rock Shelter Level 7 Archaeological Assemblage;111;37.28;12.24;30000;126000;No absolute dating. Awaiting dates from archaeology;
MSA;Gorgora Rock Shelter;Gorgora Rock Shelter Level 8 Archaeological Assemblage;117;37.28;12.24;30000;126000;No absolute dating. Awaiting dates from archaeology;
MSA;Gorgora Rock Shelter;Gorgora Rock Shelter Level 9 Archaeological Assemblage;134;37.28;12.24;30000;126000;No absolute dating. Awaiting dates from archaeology;
MSA;Grassridge Rockshelter;Grassridge Rockshelter GS-KGS Archaeological Assemblage;-1;26.852222;-31.57;28000;43000;late Pleistocene sequence;
ESA/MSA;Groot Kloof;GK-B ESA lithic;;24.65;-27.15;30000;780000;typology indicates a transitional ESA/MSA industry, probably Fauresmith (350 ka - 154 ka), preliminary U-Th series dating of fossil-bearing tufa suggests 250ka, all in all this site tends to be late Middle Pleistocene;
ESA/MSA;Groot Kloof;GK-B MSA lithic;;24.65;-27.15;30000;780000;typology indicates a transitional ESA/MSA industry, probably Fauresmith (350 ka - 154 ka), preliminary U-Th series dating of fossil-bearing tufa suggests 250ka, all in all this site tends to be late Middle Pleistocene;
Aterian;Grotte des Contrebandiers;Grotte des Contrebandiers Unit 11 Archaeological Assemblage;1188;-6.962;33.922;105000;133000;;
Aterian;Grotte des Contrebandiers;Grotte des Contrebandiers Unit 8 Archaeological Assemblage;506;-6.962;33.922;49200;69600;;
Aterian;Grotte des Contrebandiers;Grotte des Contrebandiers Unit 9+10 Archaeological Assemblage;1120;-6.962;33.922;86000;126000;;
Aterian;Grotte des Contrebandiers;Grotte des Contrebandiers Unit 9+10 Archaeological Assemblage;1120;-6.962;33.922;86000;133000;;
Aterian;Grotte des Pigeons;Grotte des Pigeons Unit 8 AH D Archaeological Assemblage;339;-2.404029;34.814177;40000;150000;described as Yellow Series, Aterian/MSA assemblages within archaeological horizons suggest an older age than published dates of Yellow Series of recent excavation (Group B+C), an exact correlation with recent archaeological sequence is not possible;
Aterian;Grotte des Pigeons;Grotte des Pigeons Unit 8 AH E Archaeological Assemblage;59;-2.404029;34.814177;40000;150000;described as Yellow Series, Aterian/MSA assemblages within archaeological horizons suggest an older age than published dates of Yellow Series of recent excavation (Group B+C), an exact correlation with recent archaeological sequence is not possible;
Aterian;Grotte des Pigeons;Grotte des Pigeons Unit 8 AH F Archaeological Assemblage;425;-2.404029;34.814177;40000;150000;described as Yellow Series, Aterian/MSA assemblages within archaeological horizons suggest an older age than published dates of Yellow Series of recent excavation (Group B+C), an exact correlation with recent archaeological sequence is not possible;
Aterian;Grotte des Pigeons;Grotte des Pigeons Unit 8 AH G Archaeological Assemblage;44;-2.404029;34.814177;40000;150000;described as Yellow Series, Aterian/MSA assemblages within archaeological horizons suggest an older age than published dates of Yellow Series of recent excavation (Group B+C), an exact correlation with recent archaeological sequence is not possible;
Aterian;Grotte des Pigeons;Grotte des Pigeons Unit 8 AH H Archaeological Assemblage;368;-2.404029;34.814177;40000;150000;described as Yellow Series, Aterian/MSA assemblages within archaeological horizons suggest an older age than published dates of Yellow Series of recent excavation (Group B+C), an exact correlation with recent archaeological sequence is not possible;
LSA;Ha Soloja;Ha Soloja Layer 1 Archaeological Assemblage;;29.0333333;-29.8333333;36600;66000;geo_min: C14, geo_max: arch_strat;
Howiesonspoort;Ha Soloja;Ha Soloja Layer 2 Archaeological Assemblage;;29.0333333;-29.8333333;36600;66000;geo_min: C14, geo_max: arch_strat;
Pre-Howiesonspoort;Ha Soloja;Ha Soloja Layer 3 Archaeological Assemblage;;29.0333333;-29.8333333;65000;70000;;
Pre-Howiesonspoort;Ha Soloja;Ha Soloja Layer 4 Archaeological Assemblage;;29.0333333;-29.8333333;65000;70000;;
Pre-Howiesonspoort;Ha Soloja;Ha Soloja Layer 5 Archaeological Assemblage;;29.0333333;-29.8333333;65000;70000;;
Pre-Howiesonspoort;Ha Soloja;Ha Soloja Layer 6 Archaeological Assemblage;;29.0333333;-29.8333333;65000;70000;;
Pre-Howiesonspoort;Ha Soloja;Ha Soloja Layer 7 Archaeological Assemblage;;29.0333333;-29.8333333;65000;70000;;
MSA;Haalenberg 1;Haalenberg Layer 1 Archaeological Assemblage;;15.467544;-26.586215;38470;300000;;
Late Sangoan;Hackthorne;Terrace Sediments Archaeology;8900;29.315495;-22.229785;200000;300000;Late Sangoan;
LSA;Hadar;Hadar Hdr 1 Unstratified LSA Surface Collection;;40.5833333;11.1;300000;1800000;;
ESA;Hadar;Hadar Hdr 10 I+II Unstratified pre-Acheulian Collection;19;40.5833333;11.1;300000;1800000;;
ESA;Hadar;Hadar Hdr 10 III  Unstratified pre-Acheulian Collection;44;40.5833333;11.1;300000;1800000;;
ESA;Hadar;Hadar Hdr 10 IV Unstratified pre-Acheulian Collection;6;40.5833333;11.1;300000;1800000;;
ESA;Hadar;Hadar Hdr 10 Tr. I  Unstratified pre-Acheulian Collection;4;40.5833333;11.1;300000;1800000;;
ESA;Hadar;Hadar Hdr 10 Tr. II Unstratified pre-Acheulian Collection;5;40.5833333;11.1;300000;1800000;;
ESA;Hadar;Hadar Hdr 10 Tr. III Unstratified pre-Acheulian Collection;70;40.5833333;11.1;300000;1800000;;
ESA;Hadar;Hadar Hdr 10 Unstratified pre-Acheulian Collection;8;40.5833333;11.1;300000;1800000;;
MSA;Hadar;Hadar Hdr 11 Unstratified MSA Surface Collection;;40.5833333;11.1;300000;1800000;;
MSA;Hadar;Hadar Hdr 14 Unstratified MSA Surface Collection;;40.5833333;11.1;300000;1800000;;
LSA;Hadar;Hadar Hdr 15 Unstratified LSA Surface Collection;;40.5833333;11.1;300000;1800000;;
LSA;Hadar;Hadar Hdr 18 Unstratified LSA Surface Collection;;40.5833333;11.1;300000;1800000;;
Middle Acheulean - Africa;Hadar;Hadar Hdr 22 Unstratified Acheulian Surface Collection;19;40.5833333;11.1;300000;1800000;;
Middle Acheulean - Africa;Hadar;Hadar Hdr 23 Unstratified Acheulian Surface Collection;5;40.5833333;11.1;300000;1800000;;
Middle Acheulean - Africa;Hadar;Hadar Hdr 24 Unstratified Acheulian Surface Collection;1;40.5833333;11.1;300000;1800000;;
Middle Acheulean - Africa;Hadar;Hadar Hdr 25 Unstratified Acheulian Surface Collection;33;40.5833333;11.1;300000;1800000;;
Middle Acheulean - Africa;Hadar;Hadar Hdr 25 up Unstratified Acheulian Surface Collection;47;40.5833333;11.1;300000;1800000;;
Middle Acheulean - Africa;Hadar;Hadar Hdr 50 in-situ Acheulian Collection;19;40.5833333;11.1;300000;1800000;;
Middle Acheulean - Africa;Hadar;Hadar Hdr 55 in-situ Acheulian Collection;2;40.5833333;11.1;300000;1800000;;
Middle Acheulean - Africa;Hadar;Hadar Hdr 56 in-situ Acheulian Collection;103;40.5833333;11.1;300000;1800000;;
Middle Acheulean - Africa;Hadar;Hadar Hdr 9 Unstratified Acheulian Surface Collection;12;40.5833333;11.1;300000;1800000;;
Dabban;Hagfet ed Dabba;Hagfet ed Dabba Layer III Archaeology;1019;21.6;32.7;14000;40000;;
Dabban;Hagfet ed Dabba;Hagfet ed Dabba Layer IIa Archaeology;2413;21.6;32.7;14000;40000;;
Dabban;Hagfet ed Dabba;Hagfet ed Dabba Layer IIb Archaeology;3828;21.6;32.7;14000;40000;;
Dabban;Hagfet ed Dabba;Hagfet ed Dabba Layer IV Archaeology;1156;21.6;32.7;14000;40000;;
Dabban;Hagfet ed Dabba;Hagfet ed Dabba Layer V Archaeology;200;21.6;32.7;14000;40000;;
Dabban;Hagfet ed Dabba;Hagfet ed Dabba Layer VI Archaeology;4076;21.6;32.7;14000;40000;;
Dabban;Hagfet ed Dabba;Hagfet ed Dabba Layer VII Archaeology;695;21.6;32.7;14000;40000;;
Upper Paleolithic - Africa;Hagfet et Tera;Hagfet et Tera Layer D2 Archaeology;;20.5;32.1;14000;40000;;
Middle Paleolithic - Africa;Hagfet et Tera;Hagfet et Tera Layer G Archaeology;;20.5;32.1;40000;200000;;
MSA;Halibee;MSA assemblage;;40.39;10.78;54000;106000;;
Victoria West;Harts River Valley DB3;DB3 Inventar;5878;24.8651;-27.508525;300000;800000;;
Middle Paleolithic - Africa;Hassi Bellal;Hassi Bellal Ensembel III+II Archaeological Assemblage;1089;-1.873;34.718;0;200000;;
Middle Paleolithic - Africa;Hassi Bellal;Hassi Bellal Ensembel III+II Archaeological Assemblage;1089;-1.873;34.718;40000;200000;;
Pre-Aurignacian - Levant;Haua Fteah;Haua Fteah Deep Sounding Archaeological Assemblage;147;21.8115;32.9081;67700;126000;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR), the deep sounding most probably date into OIS 5;
Pre-Aurignacian - Levant;Haua Fteah;Haua Fteah Layer Deep Sounding top Archaeological Assemblage;;21.8115;32.9081;67700;101600;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Dabban;Haua Fteah;Haua Fteah Layer XIX-XX Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XX A-D Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XX E Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XX-XXI Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XXI-XXII Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XXII Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XXII-XXIV Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XXIV Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XXIV-XXV Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Middle Paleolithic - Africa;Haua Fteah;Haua Fteah Layer XXIX+XXXI Archaeological Assemblage;;21.8115;32.9081;43500;73300;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Dabban;Haua Fteah;Haua Fteah Layer XXV A+B Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XXV Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XXV-XXVI Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Dabban;Haua Fteah;Haua Fteah Layer XXV-XXVI Archaeological Assemblage;;21.8115;32.9081;43500;73300;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Middle Paleolithic - Africa;Haua Fteah;Haua Fteah Layer XXV-XXVI Archaeological Assemblage;;21.8115;32.9081;26000;43500;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR). AWK subdivided Dabban layer based on Douka dates into upper (XVI-XIX) and lower (XX-XXV) sections using 26,000 as best estimated age.;
Middle Paleolithic - Africa;Haua Fteah;Haua Fteah Layer XXV-XXVI Archaeological Assemblage;;21.8115;32.9081;43500;73300;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Middle Paleolithic - Africa;Haua Fteah;Haua Fteah Layer XXVI-XXVII Archaeological Assemblage;;21.8115;32.9081;43500;73300;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Middle Paleolithic - Africa;Haua Fteah;Haua Fteah Layer XXVII-XXVIII Archaeological Assemblage;;21.8115;32.9081;43500;73300;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Middle Paleolithic - Africa;Haua Fteah;Haua Fteah Layer XXXI-XXXII Archaeological Assemblage;131;21.8115;32.9081;43500;73300;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Middle Paleolithic - Africa;Haua Fteah;Haua Fteah Layer XXXII-XXXIII Archaeological Assemblage;2487;21.8115;32.9081;43500;73300;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Middle Paleolithic - Africa;Haua Fteah;Haua Fteah Layer XXXIV-XXXV Archaeological Assemblage;1267;21.8115;32.9081;43500;73300;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Middle Paleolithic - Africa;Haua Fteah;Haua Fteah Layer XXXIV-XXXV Archaeological Assemblage;1267;21.8115;32.9081;67700;101600;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Pre-Aurignacian - Levant;Haua Fteah;Haua Fteah Layer XXXIV-XXXV Archaeological Assemblage;1267;21.8115;32.9081;43500;73300;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Pre-Aurignacian - Levant;Haua Fteah;Haua Fteah Layer XXXIV-XXXV Archaeological Assemblage;1267;21.8115;32.9081;67700;101600;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
Pre-Aurignacian - Levant;Haua Fteah;Haua Fteah Layer XXXV Archaeological Assemblage;105;21.8115;32.9081;67700;101600;age_min/max from Douka et al. 2014 using Bayesian statistical modelling of all available dates (C14, tephra, OSL, ESR);
MSA;Herolds Bay Cave;3 Inventar;;22.389282;-34.054193;30000;300000;Absolute date not available. Radiometric dating (Vogel pers comm in Brink & Deacon 1981) date deposit to end of last interglacial = OIS 5e (see also Deacon 1979) (MIS updated 2.2.2010 AWK);
MSA;Highlands;Highlands Lower Member Unit A-D Archaeological Assemblage;;25.57;-31.83;30360;40100;;
MSA;Highlands;Highlands Lower Member Unit A-D Archaeological Assemblage;;25.57;-31.83;37700;40100;;
Early MSA;Hoedjiespunt 1;Hoedjiespunt 1 AH I Archaeological Assemblage;397;17.9596528;-33.028567;71000;127000;Minimum age inferred by the existence of MSA stone artefacts and other geological and environmental indicators as well as the MIS stage.;
